"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#FINALREPORT EXCLUSIVE: ज्योतिष के आईने से इनके सर सजेगा #बिहार का ताज - https://t.co/SdKdJf0Vlu
#Modi #Nitish #Lalu https://t.co/BtUJNng3PA",FALSE,0,NA,2015-11-03 05:31:26,FALSE,NA,"661415368041205760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FinalReport1",0,FALSE,FALSE,NA,NA
"Hayook sapa takut?  Mau panco. Duel atau apa nih? #Lalu pasang kuda kuda  https://t.co/WbgiyfPV3y",FALSE,0,NA,2015-11-03 05:19:45,FALSE,NA,"661412425816633344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rojianggara",0,FALSE,FALSE,NA,NA
"RT @chhichhaledar: अगर अनिल कपूर जी लालू यादव के भाई होते तो उनका नाम होता ""भालू यादव"" !!!!

#IfYouGetIt
#Bollywood
#lalu
#okbye",FALSE,0,NA,2015-11-03 05:18:04,FALSE,NA,"661412001579593728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rettweeterr",42,TRUE,FALSE,NA,NA
"RT @chhichhaledar: #AliaBhatt अगर लालू यादव की बेटी होती तो उसका नाम होता ""आलू यादव"" ।

#Shandaar 
#alia 
#Bollywood
#lalu #okbye
@aliaa08",FALSE,0,NA,2015-11-03 05:18:02,FALSE,NA,"661411993895612416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rettweeterr",21,TRUE,FALSE,NA,NA
"RT @chhichhaledar: अगर अनिल कपूर जी लालू यादव के भाई होते तो उनका नाम होता ""भालू यादव"" !!!!

#IfYouGetIt
#Bollywood
#lalu
#okbye",FALSE,0,NA,2015-11-03 04:52:55,FALSE,NA,"661405673519878144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","da_tasan",42,TRUE,FALSE,NA,NA
"RT @chhichhaledar: #AliaBhatt अगर लालू यादव की बेटी होती तो उसका नाम होता ""आलू यादव"" ।

#Shandaar 
#alia 
#Bollywood
#lalu #okbye
@aliaa08",FALSE,0,NA,2015-11-03 04:52:53,FALSE,NA,"661405665013841920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","da_tasan",21,TRUE,FALSE,NA,NA
"RT @hiteshmalviya51: #Lalu के दो अनमोल रतन... एक मैट्रिक फ़ेल तो एक बीए फ़ेल ������������ 
#BiharWithBJP #NamoInspiresMe #ModiRajInBihar https://t.co…",FALSE,0,NA,2015-11-03 04:47:15,FALSE,NA,"661404246647169025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dineshmali2510",72,TRUE,FALSE,NA,NA
"#BiharElections 2015: #JDU releases video of #Modi with jailed #Asaram - https://t.co/8kpOTzCAHu
#BJP #Nitish #Lalu https://t.co/fX5EAaQxBF",FALSE,0,NA,2015-11-03 04:43:29,FALSE,NA,"661403297585037312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FinalReport1",0,FALSE,FALSE,NA,NA
"#shameful  #dirtypolitics #Mahagadbandhan #Nitish #Lalu talking about religious reservation.. where are we... https://t.co/AbP3ljv6pN",FALSE,0,NA,2015-11-03 04:39:38,FALSE,NA,"661402330248560640",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","avi_bravim_0m",0,FALSE,FALSE,NA,NA
"RT @hiteshmalviya51: #Lalu के दो अनमोल रतन... एक मैट्रिक फ़ेल तो एक बीए फ़ेल ������������ 
#BiharWithBJP #NamoInspiresMe #ModiRajInBihar https://t.co…",FALSE,0,NA,2015-11-03 04:25:01,FALSE,NA,"661398652787621889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kalki_Avataram",72,TRUE,FALSE,NA,NA
"#ECI notices to #AmitShah, #Rahul, #Lalu for breaching poll code in #Bihar
https://t.co/YSUHeRE1c1 https://t.co/8qtUYaCPpt",FALSE,0,NA,2015-11-03 03:09:03,FALSE,NA,"661379533271080960",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","canadawale",0,FALSE,FALSE,NA,NA
"#ECI notices to #AmitShah, #Rahul, #Lalu for breaching poll code in #Bihar
https://t.co/O4Kq3IpzYJ https://t.co/kwaGNSg3DA",FALSE,0,NA,2015-11-03 02:57:38,FALSE,NA,"661376660189638656",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","BawaHS",0,FALSE,FALSE,NA,NA
"#ECI notices to #AmitShah, #Rahul, #Lalu for breaching poll code in #Bihar
https://t.co/M2D1C7gWo8 https://t.co/0c1A6m9h3d",FALSE,0,NA,2015-11-03 02:57:38,FALSE,NA,"661376659753476096",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","yespunjab",0,FALSE,FALSE,NA,NA
"@JagranNews at least Mr. #shourie ko #Lalu ka level to pata hai.",FALSE,0,"JagranNews",2015-11-03 02:46:36,FALSE,"661372037340905472","661373882624946177","64639742","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","sonofspm",0,FALSE,FALSE,NA,NA
"RT @ITNlive: Will  #Nitish + #Lalu do a @ArvindKejriwal in #Bihar ? | #BiharElections / https://t.co/EXJQOqMJao https://t.co/qP9dJZr5oK",FALSE,0,NA,2015-11-03 02:31:24,FALSE,NA,"661370058409570304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CBMANTRI123456",2,TRUE,FALSE,NA,NA
"RT @ITNlive: Will  #Nitish + #Lalu do a @ArvindKejriwal in #Bihar ? | #BiharElections / https://t.co/EXJQOqMJao https://t.co/qP9dJZr5oK",FALSE,0,NA,2015-11-03 02:25:26,FALSE,NA,"661368559965044736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShashiRanjanITN",2,TRUE,FALSE,NA,NA
"Will  #Nitish + #Lalu do a @ArvindKejriwal in #Bihar ? | #BiharElections / https://t.co/EXJQOqMJao https://t.co/qP9dJZr5oK",FALSE,2,NA,2015-11-03 02:24:46,FALSE,NA,"661368391765114880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ITNlive",2,FALSE,FALSE,NA,NA
"#Modi #says #Nitish and #Lalu 'protecting terrorists', #Sonia #must 'stop #lecturing… https://t.co/OJBzkIcU86",FALSE,0,NA,2015-11-02 23:50:02,FALSE,NA,"661329449099636740",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","BarryFenner",0,FALSE,FALSE,NA,NA
"#BiharElection #NitsihKumar #Modi #Lalu
मोदी ने बोला नीतीश कुमार पर बड़ा हमला और कहा नीतीश के कंप्यूटर मे ""लालू""... https://t.co/2ZpqXEQeyX",FALSE,0,NA,2015-11-02 23:22:54,FALSE,NA,"661322619870969858",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","biharlivenews",0,FALSE,FALSE,NA,NA
"Sir @NitishKumar I wish U had fought alone.#Modi se itna pyar nahi jitna #lalu se darr hai :) #BiharPolls.How can u govern with #lalu ONside",FALSE,0,NA,2015-11-02 21:30:08,FALSE,NA,"661294241310724097",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OnTheRocks27",0,FALSE,FALSE,NA,NA
